t,o,h,l,c,v
1672920000000,16819.15,16864.13,16736.39,16820.54,3.47392
1672934400000,16824.79,16852.81,16765.07,16834.87,3.544888
1672948800000,16835.22,16867.96,16781.75,16808.24,5.140622
1672963200000,16805.94,16852.14,16784.36,16809.61,3.592803
1672977600000,16808.96,16819.34,16750.01,16772.1,1.324074
1672992000000,16771.08,16807.71,16688.59,16712.66,3.713027
1673006400000,16711.97,16819.19,16658.32,16818.79,5.692278
1673020800000,16819.21,16924.54,16744.87,16872.93,4.75216
1673035200000,16872.95,16929.41,16815.63,16899.16,5.147331
1673049600000,16882.78,16999.98,16848.71,16906.45,2.15402
1673064000000,16906.46,16924.53,16844.63,16897.3,4.252729
1673078400000,16897.31,16920.45,16854.46,16878.81,3.012377
1673092800000,16877.99,16924.18,16836.66,16903.16,4.09029
1673107200000,16903.14,16917.83,16826.38,16900.66,2.963227
1673121600000,16891.45,16929.19,16808.34,16897.62,4.457973
1673136000000,16897.63,16911.57,16815.19,16872.37,4.043814
1673150400000,16872.37,16907.66,16830.24,16893.06,3.392177
1673164800000,16893.08,16934.11,16829.27,16879.92,3.948213
1673179200000,16879.94,16960.23,16818.39,16944.05,3.56593
1673193600000,16947.42,16956.3,16859.42,16886.78,3.8517
1673208000000,16894.71,17121.24,16860.65,17080.19,6.439243
1673222400000,17104.51,17238.3,17044.24,17170.86,8.245619
1673236800000,17170.58,17227.86,17135.97,17174.86,3.120428
1673251200000,17185.76,17263.66,17129.29,17225.97,5.766293
1673265600000,17225.95,17333.43,17151.65,17243.8,6.419784
1673280000000,17243.79,17387.34,17221.03,17292.74,7.613545
1673294400000,17283.45,17297.19,17108.51,17170.51,7.3302
1673308800000,17172.29,17231.55,17135.4,17189.98,3.967931
1673323200000,17192.47,17231.71,17152.8,17185.68,3.982186
1673337600000,17187.63,17439.45,17147.35,17231.4,5.743462
1673352000000,17230.9,17352.15,17195.74,17297.27,10.11545
1673366400000,17302.58,17421.83,17209.73,17391.77,5.950436
1673380800000,17394.21,17473.02,17349.06,17395.28,6.88407
1673395200000,17405.08,17480.51,17315.49,17387.58,7.004966
1673409600000,17361.76,17510.71,17315.49,17421.72,3.09078
1673424000000,17418.15,17469.53,17358.7,17416.8,3.307099
1673438400000,17421.28,17435.68,17288.2,17314.85,8.020024
1673452800000,17315.59,17542.83,17292.48,17504.3,7.839353
1673467200000,17507.92,17961.54,17404.49,17913.01,8.761228
1673481600000,17916.85,18259.0,17842.11,18189.67,6.59854
1673496000000,18189.69,18218.68,17940.46,18112.06,7.103907
1673510400000,18118.07,18202.73,18038.89,18168.93,5.791652
1673524800000,18168.93,18334.53,17906.97,18076.44,10.61288
1673539200000,18076.38,19000.0,17990.33,18860.4,10.560948
1673553600000,18859.42,19083.03,18738.34,18823.44,12.006463
1673568000000,18822.98,18883.52,18684.34,18845.56,6.499461
1673582400000,18845.03,18867.49,18731.79,18785.93,5.637384
1673596800000,18776.06,19030.58,18660.2,18908.99,11.20092
1673611200000,18924.29,19300.0,18793.43,19255.09,12.947608
1673625600000,19254.98,19372.47,19050.66,19343.6,9.847533
1673640000000,19344.48,19957.05,19289.77,19899.97,15.352385
1673654400000,19898.2,21247.69,19825.51,20933.81,16.777179
1673668800000,20948.56,20988.9,20745.4,20844.96,6.994323
1673683200000,20855.97,20981.16,20220.59,20679.12,12.537409
1673697600000,20679.23,21142.87,20551.55,20754.19,7.330347
1673712000000,20753.87,20867.99,20644.24,20765.16,5.271459
1673726400000,20775.5,21036.73,20725.82,20942.61,1.165821
1673740800000,20942.99,20968.87,20556.0,20715.94,1.117159
1673755200000,20712.47,20779.43,20646.84,20725.54,2.879976
1673769600000,20724.44,20767.26,20565.68,20703.66,6.074973
1673784000000,20717.76,20977.94,20632.75,20898.62,9.08183
1673798400000,20904.09,21033.41,20651.5,20846.59,8.654447
1673812800000,20858.12,20956.78,20751.38,20880.93,8.864165
1673827200000,20864.05,21427.37,20763.83,21062.42,11.264821
1673841600000,21061.27,21214.84,21042.64,21120.46,7.996695
1673856000000,21103.45,21119.6,20691.93,20825.17,11.429553
1673870400000,20818.75,21051.67,20625.89,20994.22,8.217215
1673884800000,20965.86,21385.83,20890.91,21293.17,11.474594
1673899200000,21295.52,21424.69,21061.89,21177.09,10.801768
1673913600000,21173.26,21284.0,20834.18,21128.31,8.32804
1673928000000,21127.97,21199.28,21056.05,21128.71,7.085853
1673942400000,21128.58,21237.66,21077.41,21228.95,9.841518
1673956800000,21231.12,21602.23,21051.22,21181.52,27.07633
1673971200000,21182.28,21402.49,21089.51,21335.34,8.03204
1673985600000,21334.19,21390.81,21139.59,21140.67,3.066843
1674000000000,21140.85,21376.11,21114.82,21270.31,19.813346
1674014400000,21262.58,21326.06,21227.65,21307.77,7.133979
1674028800000,21314.89,21316.61,21166.11,21202.81,10.901351
1674043200000,21210.82,21633.81,20827.98,21042.3,28.467745
1674057600000,21042.31,21132.24,20417.64,20904.02,34.434482
1674072000000,20900.81,20934.51,20649.76,20693.95,11.210126
1674086400000,20693.94,20810.67,20661.25,20738.04,8.703107
1674100800000,20738.03,20872.56,20736.7,20819.43,5.408461
1674115200000,20819.68,20854.61,20711.95,20747.74,7.7882
1674129600000,20747.75,20948.34,20666.38,20878.08,16.7294
1674144000000,20884.76,21129.02,20795.2,21089.44,15.783899
1674158400000,21089.43,21185.13,20929.74,21076.95,18.508718
1674172800000,21073.86,21200.0,21015.08,21086.35,8.905409
1674187200000,21086.27,21167.09,20873.86,20958.89,7.39501
1674201600000,20962.07,21000.11,20898.83,20960.57,7.25887
1674216000000,20960.1,21240.99,20960.1,21140.12,8.023664
1674230400000,21148.36,21502.87,21146.49,21502.83,12.413753
1674244800000,21502.87,22742.87,21470.53,22675.35,9.359482
1674259200000,22677.2,22754.55,22461.69,22553.45,7.97379
1674273600000,22552.38,22660.64,22516.03,22646.33,4.937214
1674288000000,22645.79,23330.45,22620.3,22905.01,22.151851
1674302400000,22911.49,23283.24,22877.75,22994.79,13.408531
1674316800000,23002.89,23374.99,22982.24,23276.34,14.73154
1674331200000,23280.04,23304.15,22717.99,22780.4,20.870167
1674345600000,22791.8,22962.33,22633.54,22765.13,18.648833
1674360000000,22759.09,22968.14,22719.56,22902.72,8.677684
1674374400000,22902.63,22932.82,22737.03,22781.02,7.066018
1674388800000,22780.86,23068.88,22675.19,22807.63,11.95293
1674403200000,22807.4,22950.0,22683.0,22722.8,13.663056
1674417600000,22726.61,22777.02,22330.7,22715.38,16.07078
1674432000000,22714.91,22816.56,22659.09,22672.2,12.54663
1674446400000,22670.79,22797.77,22621.8,22696.0,9.28679
1674460800000,22702.52,22954.76,22676.29,22916.27,7.952213
